Optimum Shift,Search Space,Centroid Type,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6
0,"[-5.12, 5.12]",Alpha,-0.00069391052,-0.000913246734,-0.0327837566,-2.83448825e-05,,
0,"[-5.12, 5.12]",Beta,-0.000693592813,-0.000912729605,-0.0327862984,-2.874864e-05,,
0,"[-5.12, 5.12]",Delta,-0.000693762313,-0.00091382307,-0.0327865915,-2.82903055e-05,,
0,"[-5.12, 5.12]",Swarm,-0.00069374431,-0.000913232929,-0.0327863508,-2.84714748e-05,,
0,"[-5.12, 5.12]",Omega-only,-0.000693745292,-0.000913237809,-0.0327862826,-2.84717959e-05,,
1,"[-4.12, 6.12]",Alpha,0.20066602,0.30230177,0.26857103,0.20128678,0.23253185,0.30244962
1,"[-4.12, 6.12]",Beta,0.20077612,0.30223833,0.26858561,0.20127437,0.23253795,0.3024025
1,"[-4.12, 6.12]",Delta,0.20073324,0.30224475,0.26853033,0.20131357,0.2325691,0.30246511
1,"[-4.12, 6.12]",Swarm,0.20072687,0.30226605,0.26856234,0.20129407,0.23254286,0.30244272
1,"[-4.12, 6.12]",Omega-only,0.2007279,0.30226567,0.26856249,0.20129448,0.23254318,0.30244427
2,"[-3.12, 7.12]",Alpha,0.64305373,0.89618292,0.95995622,1.08483445,1.16132114,0.70260027
2,"[-3.12, 7.12]",Beta,0.64230374,0.86720878,0.99343671,1.09798671,1.24257867,0.76993057
2,"[-3.12, 7.12]",Delta,0.63575673,0.9709071,0.99614166,1.08143037,1.25804141,0.69771132
2,"[-3.12, 7.12]",Swarm,0.64036972,0.91142557,0.98318218,1.08808288,1.22065126,0.72342927
2,"[-3.12, 7.12]",Omega-only,0.64036902,0.91142591,0.98318107,1.08808423,1.22064843,0.72342864
3,"[-2.12, 8.12]",Alpha,1.94895319,2.09470785,1.85341798,1.66471837,2.29037823,2.07494052
3,"[-2.12, 8.12]",Beta,1.9460696,2.05157457,1.884407,1.63152825,2.32235861,2.04486687
3,"[-2.12, 8.12]",Delta,1.91325801,2.19621038,1.84523228,1.6380753,2.27073106,1.9836462
3,"[-2.12, 8.12]",Swarm,1.93609032,2.11416469,1.86104378,1.64477512,2.29448476,2.03446062
3,"[-2.12, 8.12]",Omega-only,1.93609236,2.11416741,1.86104582,1.644774,2.29448098,2.03445741
4,"[-1.12, 9.12]",Alpha,3.32893951,2.7406777,3.13703228,2.82647356,2.76707321,3.24738799
4,"[-1.12, 9.12]",Beta,3.30516364,2.71772627,3.14712408,2.77525737,2.77227633,3.2984608
4,"[-1.12, 9.12]",Delta,3.3623159,2.73513728,3.11876614,2.81192505,2.80733696,3.28235678
4,"[-1.12, 9.12]",Swarm,3.33214582,2.73119904,3.13430981,2.80457578,2.78221594,3.27606372
4,"[-1.12, 9.12]",Omega-only,3.33215071,2.73119546,3.13430704,2.80457268,2.78222427,3.27606393
5,"[-0.12, 10.12]",Alpha,4.02437309,4.53817671,4.2227136,4.41920866,4.7084057,4.0347572
5,"[-0.12, 10.12]",Beta,3.98477039,4.43996575,4.27431966,4.35556239,4.78921801,4.12870092
5,"[-0.12, 10.12]",Delta,4.02001318,4.59564666,4.27792621,4.32948123,4.7047464,4.15107338
5,"[-0.12, 10.12]",Swarm,4.00971617,4.52459929,4.25828689,4.3680711,4.73413307,4.10481765
5,"[-0.12, 10.12]",Omega-only,4.00972746,4.52460283,4.25829569,4.36807717,4.73414632,4.10483154
